PASS
ok  	github.com/olekukonko/tablewriter	0.296s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10486	    112255 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 1000000	      1092 ns/op	     429 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 6452218	       990.7 ns/op	     314 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5901478	       225.0 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5944261	       223.1 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5893116	       223.2 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5866420	       224.8 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	77552148	        14.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81720672	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81906369	        14.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81478381	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81396398	        14.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	81976540	        14.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1230622	       971.2 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1238742	       967.6 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1238653	       966.9 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1242097	       967.4 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1240141	       966.6 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	 1240326	       966.4 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 1000000	      1385 ns/op	     428 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 6177064	      1229 ns/op	     317 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5934099	       220.4 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5946378	       219.7 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5955228	       219.5 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5921010	       219.0 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	80880475	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81855622	        14.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81328363	        14.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81807726	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	77012756	        14.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8           	81458558	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  834351	      1384 ns/op	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  876800	      1384 ns/op	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  870668	      1386 ns/op	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8   	  875880	      1377 ns/op	     193 B/op	       5 allocs/op
