PASS
ok  	github.com/olekukonko/tablewriter	0.281s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 6098536	      1610 ns/op	     615 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5742829	       227.3 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5716830	       229.1 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5729361	       228.5 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	77664876	        14.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	80515070	        14.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	80445577	        14.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	80865258	        14.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	80662556	        14.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8          	82433389	        14.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	  704688	      1632 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	  746395	      1625 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	  739579	      1622 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	  733605	      1621 ns/op	     484 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	  711986	      1621 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8            	  719763	      1618 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	  617257	      2181 ns/op	     803 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 2226408	      1170 ns/op	     435 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5928832	      1517 ns/op	     514 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5699280	       227.2 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5745748	       227.1 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8          	 5736100	       228.2 ns/op	      87 B/op	       1 allocs/op
