goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8          	75531672	        15.80 ns/op	5507.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8          	76355510	        15.69 ns/op	5544.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8          	76330210	        15.70 ns/op	5540.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8          	76020937	        15.69 ns/op	5543.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8          	76397233	        15.80 ns/op	5505.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheHit-8          	76978179	        15.84 ns/op	5493.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8            	  729231	      1614 ns/op	  53.90 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8            	  747952	      1609 ns/op	  54.06 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8            	  738030	      1620 ns/op	  53.72 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8            	  743014	      1605 ns/op	  54.21 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8            	  753604	      1594 ns/op	  54.59 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_NoCache-8            	  757772	      1620 ns/op	  53.69 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8          	  645182	      1984 ns/op	  43.85 MB/s	     563 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8          	 1824744	       669.8 ns/op	 129.88 MB/s	     226 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAtrue_CacheMiss-8          	 6507742	      1568 ns/op	  55.47 MB/s	     412 B/op	       6 allocs/op
